x,y,z,activity
-0.03870,-0.00964,1.00513,1
-0.03662,-0.00769,1.01428,1
-0.03650,-0.01135,1.01733,1
-0.04089,-0.01587,1.00879,1
-0.03772,-0.01929,1.00708,1
-0.03271,-0.00488,1.00806,1
-0.04187,-0.01685,1.02344,1
-0.03625,-0.00244,1.01563,1
-0.03967,-0.01086,0.99060,1
-0.04333,-0.00854,1.01392,1
-0.04578,-0.01831,1.00610,1
-0.04431,-0.01685,1.01990,1
-0.05310,-0.02246,1.01855,1
-0.05310,0.00452,1.00354,1
-0.05957,0.02832,0.99792,1
-0.05579,0.09863,0.96973,1
-0.05603,0.07727,1.00452,1
-0.06189,0.05505,0.98987,1
-0.05798,-0.00525,1.00037,1
-0.05579,-0.03113,1.00171,1
-0.10693,0.08289,1.00012,1
-0.15222,0.31799,0.92163,1
-0.14685,0.26953,0.97632,1
-0.12573,0.14783,0.97375,1
-0.11194,0.05725,1.05627,1
-0.07507,0.00256,0.99988,1
-0.06262,0.01880,0.99988,1
-0.11816,0.13733,0.97351,1
-0.14246,0.13501,1.00317,1
-0.11194,0.07312,0.98425,1
-0.12195,0.02905,0.99866,1
-0.10071,0.06482,0.98743,1
-0.10986,0.03174,1.00403,1
-0.11499,0.04504,1.02185,1
-0.10742,0.03320,0.99316,1
-0.10498,0.04443,0.98706,1
-0.10645,0.03137,1.01428,1
-0.10449,0.04004,1.01331,1
-0.10107,0.03320,0.99097,1
-0.10876,0.05432,1.02686,1
-0.10608,0.03625,1.01550,1
-0.10645,0.05054,0.98315,1
-0.09802,0.06116,1.01575,1
-0.10071,0.05090,1.00769,1
-0.09729,0.05334,1.00134,1
-0.10327,0.05994,1.00525,1
-0.10315,0.04773,0.99744,1
-0.09851,0.05823,1.00037,1
-0.09924,0.05640,1.00354,1
-0.09900,0.04724,1.00000,1
-0.10327,0.05237,1.00647,1
-0.09888,0.04846,1.00720,1
-0.09534,0.05762,0.99951,1
-0.09973,0.04749,1.00476,1
-0.10535,0.04065,1.00867,1
-0.09399,0.05066,1.00928,1
-0.10010,0.04407,0.99744,1
-0.09692,0.06030,1.03381,1
-0.10486,0.07129,0.98706,1
-0.12231,0.34399,0.95959,1
-0.14600,0.35559,0.90894,1
-0.15271,0.23962,0.95959,1
-0.20239,0.16150,0.88000,1
-0.26843,-0.05090,0.95654,1
-0.23755,-0.19067,0.94067,1
-0.22888,-0.26819,0.98608,1
-0.18115,-0.10437,0.95190,1
-0.17529,0.18896,0.94678,1
-0.20862,0.30579,0.94702,1
-0.20471,0.15442,0.98389,1
-0.16711,0.03479,0.97705,1
-0.13135,-0.03040,1.00867,1
-0.09570,-0.11328,0.98267,1
-0.04687,-0.02661,1.03601,1
0.00342,0.06433,1.02905,1
0.03333,0.02014,1.04126,1
0.06702,-0.03931,1.01306,1
0.03027,-0.08032,0.98035,1
-0.04187,-0.14746,0.99463,1
-0.05286,-0.16248,0.99731,1
-0.07190,-0.27307,1.04724,1
-0.01025,-0.18091,0.96033,1
0.02649,-0.15381,0.98315,1
0.02271,-0.14148,0.98303,1
-0.01746,-0.09497,0.95691,1
-0.08618,-0.01477,0.96741,1
-0.16553,0.02954,1.00537,1
-0.23022,-0.14124,1.01318,1
-0.23181,-0.23730,1.05347,1
-0.11658,-0.01880,0.92004,1
-0.07031,0.19116,0.88159,1
-0.17932,0.30750,0.92957,1
-0.22742,0.11987,1.01648,1
-0.24585,-0.29651,1.00757,1
-0.19421,-0.11548,0.89185,1
-0.13721,0.07690,1.07178,1
-0.08765,0.21057,0.98291,1
-0.06848,0.23914,1.01428,1
-0.03979,0.11230,0.95984,1
0.01953,0.05774,0.99756,1
0.04883,0.02173,0.98621,1
0.08447,-0.02136,0.93958,1
0.14502,-0.03357,1.01819,1
0.16455,0.05237,1.00049,1
0.19458,0.11597,0.97632,1
0.18823,0.12170,1.00171,1
0.11597,0.13074,0.99622,1
0.04553,0.21436,1.05884,1
-0.01721,0.22314,1.09998,1
-0.06494,0.02856,1.01465,1
-0.10132,-0.15869,1.01953,1
-0.10205,-0.31165,1.01941,1
-0.15515,-0.16626,0.99341,1
-0.22034,-0.07288,1.00684,1
-0.25244,-0.08301,0.97925,1
-0.24609,-0.02979,0.97925,1
-0.24683,-0.02295,0.94897,1
-0.17407,0.03223,0.94775,1
-0.12878,0.11829,1.02783,1
-0.09290,0.23950,0.93701,1
-0.03491,0.16028,0.94812,1
0.01807,0.03552,0.97070,1
0.04114,0.05420,0.98779,1
0.05200,0.12451,1.00366,1
0.05432,0.19885,0.97998,1
0.02637,0.31567,0.92810,1
-0.01428,0.29004,0.99829,1
-0.07373,0.19434,0.97778,1
-0.12317,0.15027,1.06970,1
-0.14343,0.05444,0.96875,1
-0.15161,-0.04907,1.04163,1
-0.16907,-0.13184,0.97620,1
-0.18604,-0.09607,0.94446,1
-0.19226,-0.10779,0.94055,1
-0.22070,-0.10400,1.01929,1
-0.26013,-0.04761,0.84070,1
-0.25415,0.09644,0.93542,1
-0.23547,0.11487,0.96729,1
-0.25537,0.05652,1.06921,1
-0.26978,-0.01587,0.98755,1
